name,building data source url,lod level,data time,download time,format,building count,surface count（自建）,original SRID,匹配到的数量,原始数据大小（GB）,备注,,,城市数量,总building,总surface,总有效building,总大小（GB）,,,,,,
Hamburg,https://suche.transparenz.hamburg.de/dataset/3d-gebaeudemodell-lod1-de-hamburg2,1,20230401,20260414,.xml,384626,3828594,25832,354270,3.46,,,,25,13621453,147131514,12191248,67.35,,,,,,
Amsterdam,https://3dbag.nl/en/,1.2，1.3,20250903,20260414,.json,165995,1888041,7145 (28992),150825,1.01,数据质量不如lod2,,,,,,,,,,,,,
Dresden,https://opendata.dresden.de/informationsportal/#app/mainpage//3D%20Stadtmodell//,1,20251217,20260424,gml,163530,1414403,25833,144990,0.9,,,,,,,,,,,,,,
Berlin,https://gdi.berlin.de/geonetwork/srv/ger/catalog.search#/metadata/e2a1e24e-bd9a-3de4-86af-af1a7a21a29e,1,20190301,20260427,gml,928003,9805809,25833,844938,6.6,,,,,,,,,,,,,,
Rotterdam ,https://3dbag.nl/en/,1.2，1.3,20250903,20260425,json,189650,1785785,7145 (28992),154002,1.04,数据质量不如lod2,,,,,,,,,,,,,
Luxembourg,https://data.public.lu/fr/datasets/batiments-3d-2013-lod-1-level-of-detail-1/,1,2013,20260427,gml,10300,117373,2169,8783,0.05,比lod2少不少，存在多栋建筑union一起的情况,,,,,,,,,,,,,
San Francisco,https://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/California.html,1,2019,20260427,json,159456,1318683,4979,156099,0.15,美国的数据无高程，ground_z是相对高度0,,,,,,,,,,,,,
Chicago,https://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/Illinois.html,1,2019,20260427,json,1617647,12204658,4979,822807,1.43,,,,,,,,,,,,,,
Boston,https://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/Massachusetts.html,1,2019,20260427,json,123192,943032,4979,95833,0.11,,,,,,,,,,,,,,
Washington D.C.,http://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/DistrictofColumbia.html,1,2019,20260428,json,161911,1717713,4979,157837,0.19,,,,,,,,,,,,,,
New York,http://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/NewYork.html,1,2019,20260428,json,42974,421462,4979,42678,0.05,曼哈顿,,,,,,,,,,,,,
Portland,http://htmlpreview.github.io/?https://github.com/opencitymodel/opencitymodel/blob/master/releases/2019-jun/Oregon.html,1,2019,20260428,json,296701,2587730,4979,232296,0.3,,,,,,,,,,,,,,
Tokyo,https://front.geospatial.jp/plateau_portal_site/#,1,2025,20260428,gml,2005288,16731447,6697,1992669,31.3,日本数据直接处理gml,,,,,,,,,,,,,
Sapporo ,https://www.geospatial.jp/ckan/dataset/plateau-01100-sapporo-shi-2020,1,2020,20260428,gml,646474,4986557,6697,633726,7.52,,,,,,,,,,,,,,
Osaka,https://www.geospatial.jp/ckan/dataset/plateau-27100-osaka-shi-2025,1,2025,20260421,gml,616119,4770080,6697,605292,7.87,,,,,,,,,,,,,,
Kanazawa,https://www.geospatial.jp/ckan/dataset/plateau-17201-kanazawa-shi-2024,1,2024,20260429,gml,213878,1997339,6697,211022,2.37,,,,,,,,,,,,,,
Toronto,https://open.toronto.ca/dataset/3d-massing/,1,2025,20260429,shp,409703,5523858,3857,404248,0.29,,,,,,,,,,,,,,
Vienna,https://www.wien.gv.at/ma41datenviewer/public/,1.4,20251120,20260429,shp,695635,7796212,31256,643661,0.26,,,,,,,,,,,,,,
Winnipeg,https://festudio.ca/research/buildings,1,202412,20260430,shp,282398,2142829,32614,279344,0.29,,,,,,,,,,,,,,
Beijing,https://github.com/AICyberTeam/GABLE,1,20240729,20260415,shp,4088130,59562180,4490,3943700,1.79,顶点过多，需要simplify，效果不好，失去形状,,,,,,,,,,,,,
Zurich,https://www.stadt-zuerich.ch/geodaten/download/Bauten___Blockmodell?format=10007,1,20260501,20260506,shp,65986,945198,2056,55020,0.15,,,,,,,,,,,,,,
Bologna,https://opendata.comune.bologna.it/explore/dataset/c_a944ctc_edifici_pl/export/?disjunctive.descrizion&disjunctive.origine&sort=-codice_ogg,1,20260422,20260507,geojson,54707,546955,4326,50968,0.05,,,,,,,,,,,,,,
Paris,https://www.data.gouv.fr/datasets/base-de-donnees-nationale-des-batiments,1,20260203,20260508,parquet,86053,1502152,2154,71781,0.07,需要单独分离bbox,,,,,,,,,,,,,
Lyon,https://www.data.gouv.fr/datasets/base-de-donnees-nationale-des-batiments,1,20260203,20260508,parquet,59983,882224,2154,25809,0.03,需要单独分离,,,,,,,,,,,,,
Marseille,https://www.data.gouv.fr/datasets/base-de-donnees-nationale-des-batiments,1,20260203,20260508,parquet,153114,1711200,2154,108650,0.07,需要单独分离,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
