name,building data source url,lod level,data time,download time,format,building count,surface count,original SRID,匹配到的数量,原始数据大小（GB）,备注,,,城市数量,总building,总surface,总有效building,总大小（GB）
Hamburg,https://suche.transparenz.hamburg.de/dataset/3d-gebaeudemodell-lod2-de-hamburg2,2,20250314,20260414,xml,388267,4533530,25832,357535,6.16,,,,19,4802552,72011604,4331859,86.72
Vienna,https://www.wien.gv.at/ma41datenviewer/public/,2.1,20251120,20260416,gml,477126,6708987,31256,454262,11.1,,,,,,,,
Amsterdam,https://3dbag.nl/en/,2.2,20250903,20260414,json,165992,3236008,7145 (28992),146861,1.01,,,,,,,,
Montreal,https://donnees.montreal.ca/en/dataset/maquette-numerique-plateau-mont-royal-batiments-lod2-avec-textures?,2,2013,20260422,gml,37885,4191945,32188,37710,3.7,仅有部分区域,,,,,,,
Zurich,https://www.swisstopo.admin.ch/de/landschaftmodell-swissbuildings3d-3-0-beta#swissBUILDINGS3D-3.0-Beta---Download,2,2019,20260414,gml,50600,5722729,2056,41447,7.41,,,,,,,,
Luxembourg,https://data.public.lu/en/datasets/base-de-donnees-nationale-des-batiments-3d-2023/#,2.2,2023,20260423,gml,23275,764173,2169,20845,1.03,,,,,,,,
Hannover,https://www.hannover.de/Leben-in-der-Region-Hannover/Verwaltungen-Kommunen/Die-Verwaltung-der-Landeshauptstadt-Hannover/Dezernate-und-Fachbereiche-der-LHH/Stadtentwicklung-und-Bauen/Fachbereich-Planen-und-Stadtentwicklung/Geoinformation/Open-GeoData/3D-Stadtmodell-und-Gel%C3%A4ndemodell/Digitales-3D-Stadtmodell,2,20241205,20260423,gml,135775,1946735,25832,124696,2.21,,,,,,,,
Linz,https://geo.data.linz.gv.at/katalog/geodata/3d_geo_daten_lod2/,2,2018,20260424,gml,68529,645775,31255,56131,0.78,,,,,,,,
Namur,"https://data.namur.be/explore/dataset/namur-3d-batiments-textures-par-dalle-de-200m/table/?dataChart=eyJxdWVyaWVzIjpbeyJjb25maWciOnsiZGF0YXNldCI6Im5hbXVyLTNkLWJhdGltZW50cy10ZXh0dXJlcy1wYXItZGFsbGUtZGUtMjAwbSIsIm9wdGlvbnMiOnt9fSwiY2hhcnRzIjpbeyJhbGlnbk1vbnRoIjp0cnVlLCJ0eXBlIjoiY29sdW1uIiwiZnVuYyI6IkNPVU5UIiwic2NpZW50aWZpY0Rpc3BsYXkiOnRydWUsImNvbG9yIjoiIzAxMUY0OSJ9XSwieEF4aXMiOiJub20iLCJtYXhwb2ludHMiOjUwLCJzb3J0IjoiIn1dLCJ0aW1lc2NhbGUiOiIiLCJkaXNwbGF5TGVnZW5kIjp0cnVlLCJhbGlnbk1vbnRoIjp0cnVlfQ%3D%3D&location=13,50.43269,4.86943&basemap=jawg.streets",2.2,2018,20260424,gml,63153,1003820,31370,57241,1.08,通过法向量判断surface语义有bug,,,,,,,
Prague,https://geoportalpraha.cz/en/data-and-services/7e6316e95cfe4f36ae06bbfb687bf34b,2,2020,20260424,gml,366007,3272518,5514,336252,4.72,,,,,,,,
Dresden,https://opendata.dresden.de/informationsportal/#app/mainpage//3D%20Stadtmodell//,2,20251217,20260424,gml,163576,1779003,25833,145063,3.69,,,,,,,,
Berlin,https://gdi.berlin.de/geonetwork/srv/ger/catalog.search#/metadata/3c7c49af-00a4-3bcd-bc00-20e7f0f1b7bf,2,20240422,20260425,xml,874612,10061258,25833,796145,14.3,有ClosureSurface语义，但忽略,,,,,,,
New York,https://maps.nyc.gov/download/3dmodel/,2,2016,20260425,gml,1083432,12962503,2263,1066657,12.8,单位是英尺，需要0.3048；分体块但是坡屋顶好像缺少,,,,,,,
Rotterdam ,https://3dbag.nl/en/,2.2,20250903,20260425,json,189649,2910029,7145 (28992),154002,1.04,,,,,,,,
Tallinn,https://geoportaal.maaamet.ee/eng/Download-3D-data-p837.html,2,20260425,20260429,gml,49790,1015749,3301,42010,0.55,通过法向量判断surface语义有小bug，数据质量较差,,,,,,,
Munich,https://geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=lod2,2,,20260430,gml,373913,4451336,25832,297022,5.97,,,,,,,,
Nuremberg,https://geodaten.bayern.de/opengeodata/OpenDataDetail.html?pn=lod2,2,,20260430,gml,219925,2445823,25832,156462,3.29,,,,,,,,
Bern,https://www.swisstopo.admin.ch/de/landschaftmodell-swissbuildings3d-3-0-beta#swissBUILDINGS3D-3.0-Beta---Download,2,2021、2023,20260506,gml,46569,3644522,2056,18644,4.68,,,,,,,,
Lyon,https://data.grandlyon.com/portail/fr/jeux-de-donnees/maquettes-3d-texturees-2018-communes-metropole-lyon/donnees,2,2018,20260508,gml,24477,715161,3946,22874,1.2,,,,,,,,
